Series_Title,Genre,Director
The Shawshank Redemption,Drama,Frank Darabont
The Godfather,Crime,Francis Ford Coppola
The Dark Knight,Action,Christopher Nolan
The Godfather: Part II,Crime,Francis Ford Coppola
12 Angry Men,Crime,Sidney Lumet
The Lord of the Rings: The Return of the King,Action,Peter Jackson
Pulp Fiction,Crime,Quentin Tarantino
Schindler's List,Biography,Steven Spielberg
Inception,Action,Christopher Nolan
Fight Club,Drama,David Fincher
The Lord of the Rings: The Fellowship of the Ring,Action,Peter Jackson
Forrest Gump,Drama,Robert Zemeckis
The Lord of the Rings: The Two Towers,Action,Peter Jackson
The Matrix,Action,Lana Wachowski
Goodfellas,Biography,Martin Scorsese
Star Wars: Episode V - The Empire Strikes Back,Action,Irvin Kershner
One Flew Over the Cuckoo's Nest,Drama,Milos Forman
Hamilton,Biography,Thomas Kail
Interstellar,Adventure,Christopher Nolan
Saving Private Ryan,Drama,Steven Spielberg
The Green Mile,Crime,Frank Darabont
The Silence of the Lambs,Crime,Jonathan Demme
Star Wars,Action,George Lucas
It's a Wonderful Life,Drama,Frank Capra
Joker,Crime,Todd Phillips
Whiplash,Drama,Damien Chazelle
The Prestige,Drama,Christopher Nolan
The Departed,Crime,Martin Scorsese
The Pianist,Biography,Roman Polanski
Gladiator,Action,Ridley Scott
American History X,Drama,Tony Kaye
The Usual Suspects,Crime,Bryan Singer
The Lion King,Animation,Roger Allers
Terminator 2: Judgment Day,Action,James Cameron
Back to the Future,Adventure,Robert Zemeckis
Once Upon a Time in the West,Western,Sergio Leone
Psycho,Horror,Alfred Hitchcock
Casablanca,Drama,Michael Curtiz
Modern Times,Comedy,Charles Chaplin
City Lights,Comedy,Charles Chaplin
Spider-Man: Into the Spider-Verse,Animation,Bob Persichetti
Avengers: Endgame,Action,Anthony Russo
Avengers: Infinity War,Action,Anthony Russo
Coco,Animation,Lee Unkrich
Django Unchained,Drama,Quentin Tarantino
The Dark Knight Rises,Action,Christopher Nolan
3 Idiots,Comedy,Rajkumar Hirani
Memento,Mystery,Christopher Nolan
Once Upon a Time in America,Crime,Sergio Leone
